User-ID;ISBN;Book-Rating
276747;0060517794;9
276747;0679776818;8
276788;0345443683;8
276788;043935806X;7
276822;0060096195;10
276822;0786817070;10
276925;002542730X;10
276925;0385504209;8
276964;0345354621;10
276964;0440220602;9
276964;0684867621;8
276986;0060930187;10
276986;0375760911;10
276986;0689817851;10
276994;3423202327;6
276994;3492045170;7
276994;3548359698;6
277036;0812511816;9
277036;0880381736;9
277042;0312283709;8
277042;0446605484;7
277042;0446611212;8
277042;0609804138;9
277042;074343627X;8
277042;0971880107;2
277051;0330262130;10
277051;0385720920;10
277051;0553262505;7
277124;0425189864;9
277124;0440236053;9
277124;0440241073;9
277124;0553586122;5
277143;0345342968;9
277143;0767903382;8
277157;0316154059;5
277157;0345452550;7
277157;0399148639;6
277157;0671024094;7
277157;0679450408;6
277157;0743486226;7
277171;0451173139;7
277171;0553580930;9
277195;0060391626;10
277195;0330332775;10
277195;0670869902;10
277195;0671021001;10
277197;0316969680;8
277197;0375703861;7
277230;037541309X;7
277230;0826308791;5
277235;014029628X;6
277235;0375703861;10
277315;0060173289;8
277315;0060976845;5
277378;0312195516;7
277378;0446608955;4
277378;0670892963;7
277378;0804114986;5
277427;002542730X;10
277427;0061009059;9
277427;0316776963;8
277427;0345413903;10
277427;0380702843;8
277427;0385424736;9
277427;0385486804;9
277427;0385503857;9
277427;0385504209;8
277427;039304016X;8
277427;0399501487;9
277427;0425116840;8
277427;0425133516;9
277427;0440224764;7
277427;0440236061;8
277427;0440236738;9
277427;0441627404;10
277427;0446350982;9
277427;0446608890;10
277427;0451191153;8
277427;0451203593;10
277427;0452284449;6
277427;0552137030;8
277427;0553280368;9
277427;0553571656;10
277427;0671528904;8
277427;0679731148;9
277427;0679736042;5
277427;0740723367;9
277427;0743406176;8
277427;0743412028;9
277427;0743457943;8
277427;0767903382;10
277427;0786866845;10
277427;0811802981;10
277427;0811811409;10
277427;0836217691;10
277427;0836218515;10
277427;0836221192;10
277439;0316666343;7
277439;0345452550;5
277439;0671027360;7
277466;0380718340;7
277466;0553292722;8
277466;0553571885;8
277478;0552142379;8
277478;1558745718;8
277523;0316603570;10
277523;0316693200;10
277523;0385508042;10
277523;0385510438;10
277523;0440241537;10
277523;0446530891;10
277523;0446613843;10
277523;0515133302;10
277523;0671886665;10
277523;0684835983;10
277523;0743206045;10
277523;1558744150;10
277527;0316777722;10
277527;0679439382;7
277527;0679723161;8
277533;0452268060;7
277533;0679734775;6
277554;0345392825;9
277554;0345435168;3
277554;0452268060;5
277575;0142004235;5
277575;0446608262;9
277601;0312421273;3
277601;0679771476;7
277623;002542730X;5
277623;0028604199;9
277623;0786890436;4
277623;1400031346;8
277623;1400031354;8
277629;0380018179;8
277629;0385472943;8
277629;0425116840;6
277629;0440241073;8
277639;034539657X;8
277639;0380731851;6
277639;0425142485;7
277639;0425147363;8
277639;042516098X;5
277639;0440211727;8
277639;0440214041;9
277639;0553579754;7
277639;0812543262;8
277651;0743225406;8
277651;0771060548;10
277662;051510566X;5
277662;0743206061;4
277698;0316769487;6
277698;0425171396;8
277710;0061015725;4
277710;0446611638;5
277710;0446613843;6
277710;0451208765;10
277710;0553582763;6
277722;0061031070;7
277722;0449005615;10
277722;0804114986;8
277744;0061031550;8
277744;0312421273;7
277744;0345339681;3
277744;0440235162;5
277744;0887307876;9
277744;0929634063;10
277752;0316666343;7
277752;0679734775;8
277873;0395977894;10
277873;0553575538;6
277873;0679781587;10
277873;0767903579;7
277901;0446672211;7
277901;0446675059;7
277901;0452282152;8
277915;0452269571;8
277915;0671510053;7
277922;0345384377;7
277922;0440225701;6
277922;0446609943;7
277922;0553580191;9
277928;0679751602;10
277928;0804105820;9
277937;0060934417;9
277937;0316168815;7
277937;0452283205;7
277937;0743225325;6
277937;0743237188;7
277938;0446672211;9
277938;0743437802;9
277945;0312974256;6
277945;0312983301;6
